station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
3694,Jackson Square,JC063,40.71113,-74.0789,70,"KEY,CREDITCARD",18,FALSE,10,0,8,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3201,Dey St,JC065,40.737711,-74.066921,70,"KEY,CREDITCARD",18,FALSE,9,0,9,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3279,Dixon Mills,JC076,40.72163014,-74.04996783,70,"KEY,CREDITCARD",18,FALSE,9,0,9,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3595,35 St & Broadway,6750.16,40.760339,-73.9222427,71,"KEY,CREDITCARD",18,FALSE,8,0,10,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3677,Glenwood Ave,JC094,40.72755147,-74.07106072,70,"KEY,CREDITCARD",18,FALSE,8,0,10,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3817,Withers St & Kingsland Ave,5362.08,40.71773,-73.94051,71,"KEY,CREDITCARD",18,FALSE,8,0,10,0,TRUE,TRUE,TRUE,FALSE,4/15/2020 0:00:00
3196,Riverview Park,JC057,40.7443187,-74.0439909,70,"KEY,CREDITCARD",18,FALSE,7,0,11,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3862,Linden St & Knickerbocker Ave,4743.04,40.69714,-73.91566,71,"KEY,CREDITCARD",18,FALSE,7,0,11,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3198,Heights Elevator,JC059,40.74871595,-74.0404433,70,"KEY,CREDITCARD",18,FALSE,6,0,12,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
3202,Newport PATH,JC066,40.7272235,-74.0337589,70,"KEY,CREDITCARD",18,FALSE,6,0,12,0,TRUE,TRUE,TRUE,FALSE,4/14/2020 0:00:00
